,Dis,Ct,St,Ct Wk,Ct Fi,Inns,Opposition,Ground,Start Date,Match id
0,0,0,0,0,0,2,ODI v Sri Lanka,Dambulla,18 Aug 2008,ODI # 2742
1,3,3,0,0,3,1,ODI v Sri Lanka,Dambulla,20 Aug 2008,ODI # 2745
2,0,0,0,0,0,2,ODI v Sri Lanka,Colombo (RPS),24 Aug 2008,ODI # 2750
3,0,0,0,0,0,2,ODI v Sri Lanka,Colombo (RPS),27 Aug 2008,ODI # 2755
4,0,0,0,0,0,1,ODI v Sri Lanka,Colombo (RPS),29 Aug 2008,ODI # 2756
5,0,0,0,0,0,2,ODI v Sri Lanka,Colombo (RPS),14 Sep 2009,ODI # 2889
6,1,1,0,0,1,1,ODI v Pakistan,Centurion,26 Sep 2009,ODI # 2898
7,0,0,0,0,0,1,ODI v Australia,Centurion,28 Sep 2009,ODI # 2901
8,0,0,0,0,0,1,ODI v West Indies,Johannesburg,30 Sep 2009,ODI # 2904
9,1,1,0,0,1,1,ODI v Australia,Vadodara,25 Oct 2009,ODI # 2913
10,0,0,0,0,0,1,ODI v Australia,Mohali,2 Nov 2009,ODI # 2919
11,0,0,0,0,0,2,ODI v Sri Lanka,Rajkot,15 Dec 2009,ODI # 2932
12,1,1,0,0,1,2,ODI v Sri Lanka,Nagpur,18 Dec 2009,ODI # 2933
13,1,1,0,0,1,1,ODI v Sri Lanka,Eden Gardens,24 Dec 2009,ODI # 2935
14,0,0,0,0,0,1,ODI v Sri Lanka,Delhi,27 Dec 2009,ODI # 2936
15,0,0,0,0,0,2,ODI v Sri Lanka,Mirpur,5 Jan 2010,ODI # 2938
16,1,1,0,0,1,1,ODI v Bangladesh,Mirpur,7 Jan 2010,ODI # 2939
17,1,1,0,0,1,1,ODI v Sri Lanka,Mirpur,10 Jan 2010,ODI # 2941
18,1,1,0,0,1,1,ODI v Bangladesh,Mirpur,11 Jan 2010,ODI # 2942
19,1,1,0,0,1,2,ODI v Sri Lanka,Mirpur,13 Jan 2010,ODI # 2943
20,1,1,0,0,1,2,ODI v South Africa,Jaipur,21 Feb 2010,ODI # 2961
21,0,0,0,0,0,2,ODI v South Africa,Gwalior,24 Feb 2010,ODI # 2962
22,0,0,0,0,0,1,ODI v South Africa,Ahmedabad,27 Feb 2010,ODI # 2963
23,0,0,0,0,0,2,ODI v Zimbabwe,Bulawayo,28 May 2010,ODI # 2981
24,0,0,0,0,0,1,ODI v Sri Lanka,Bulawayo,30 May 2010,ODI # 2983
25,1,1,0,0,1,2,ODI v Zimbabwe,Harare,3 Jun 2010,ODI # 2986
26,1,1,0,0,1,2,ODI v Sri Lanka,Harare,5 Jun 2010,ODI # 2988
27,0,0,0,0,0,1,T20I v Zimbabwe,Harare,12 Jun 2010,T20I # 182
28,0,0,0,0,0,1,T20I v Zimbabwe,Harare,13 Jun 2010,T20I # 183
29,0,0,0,0,0,1,ODI v Bangladesh,Dambulla,16 Jun 2010,ODI # 2993
30,1,1,0,0,1,1,ODI v Pakistan,Dambulla,19 Jun 2010,ODI # 2996
31,0,0,0,0,0,2,ODI v Sri Lanka,Dambulla,22 Jun 2010,ODI # 2999
32,0,0,0,0,0,2,ODI v Sri Lanka,Dambulla,24 Jun 2010,ODI # 3001
33,0,0,0,0,0,1,ODI v Sri Lanka,Dambulla,16 Aug 2010,ODI # 3032
34,0,0,0,0,0,2,ODI v New Zealand,Dambulla,25 Aug 2010,ODI # 3039
35,0,0,0,0,0,1,ODI v Sri Lanka,Dambulla,28 Aug 2010,ODI # 3040
36,0,0,0,0,0,1,ODI v Australia,Visakhapatnam,20 Oct 2010,ODI # 3060
37,0,0,0,0,0,2,ODI v New Zealand,Guwahati,28 Nov 2010,ODI # 3070
38,1,1,0,0,1,1,ODI v New Zealand,Jaipur,1 Dec 2010,ODI # 3072
39,0,0,0,0,0,1,ODI v New Zealand,Vadodara,4 Dec 2010,ODI # 3074
40,0,0,0,0,0,1,ODI v New Zealand,Bengaluru,7 Dec 2010,ODI # 3076
41,0,0,0,0,0,1,ODI v New Zealand,Chennai,10 Dec 2010,ODI # 3077
42,1,1,0,0,1,2,T20I v South Africa,Durban,9 Jan 2011,T20I # 196
43,0,0,0,0,0,1,ODI v South Africa,Durban,12 Jan 2011,ODI # 3079
44,0,0,0,0,0,2,ODI v South Africa,Johannesburg,15 Jan 2011,ODI # 3080
45,3,3,0,0,3,1,ODI v South Africa,Cape Town,18 Jan 2011,ODI # 3082
46,1,1,0,0,1,1,ODI v South Africa,Gqeberha,21 Jan 2011,ODI # 3084
47,0,0,0,0,0,1,ODI v South Africa,Centurion,23 Jan 2011,ODI # 3087
48,0,0,0,0,0,2,ODI v Bangladesh,Mirpur,19 Feb 2011,ODI # 3100
49,1,1,0,0,1,2,ODI v England,Bengaluru,27 Feb 2011,ODI # 3110
50,0,0,0,0,0,1,ODI v Ireland,Bengaluru,6 Mar 2011,ODI # 3121
51,0,0,0,0,0,1,ODI v Netherlands,Delhi,9 Mar 2011,ODI # 3124
52,1,1,0,0,1,2,ODI v South Africa,Nagpur,12 Mar 2011,ODI # 3128
53,0,0,0,0,0,2,ODI v West Indies,Chennai,20 Mar 2011,ODI # 3141
54,0,0,0,0,0,1,ODI v Australia,Ahmedabad,24 Mar 2011,ODI # 3143
55,1,1,0,0,1,2,ODI v Pakistan,Mohali,30 Mar 2011,ODI # 3147
56,0,0,0,0,0,1,ODI v Sri Lanka,Wankhede,2 Apr 2011,ODI # 3148
57,2,2,0,0,2,2,T20I v West Indies,Port of Spain,4 Jun 2011,T20I # 200
58,1,1,0,0,1,1,ODI v West Indies,Port of Spain,6 Jun 2011,ODI # 3159
59,0,0,0,0,0,1,ODI v West Indies,Port of Spain,8 Jun 2011,ODI # 3160
60,1,1,0,0,1,1,ODI v West Indies,North Sound,11 Jun 2011,ODI # 3161
61,2,2,0,0,2,1,ODI v West Indies,North Sound,13 Jun 2011,ODI # 3162
62,0,0,0,0,0,2,ODI v West Indies,Kingston,16 Jun 2011,ODI # 3163
63,0,0,0,0,0,2,Test v West Indies,Kingston,20 Jun 2011,Test # 1997
64,2,2,0,0,2,4,Test v West Indies,Kingston,20 Jun 2011,Test # 1997
65,2,2,0,0,2,2,Test v West Indies,Bridgetown,28 Jun 2011,Test # 1998
66,0,0,0,0,0,4,Test v West Indies,Bridgetown,28 Jun 2011,Test # 1998
67,0,0,0,0,0,1,Test v West Indies,Roseau,6 Jul 2011,Test # 1999
68,1,1,0,0,1,3,Test v West Indies,Roseau,6 Jul 2011,Test # 1999
69,0,0,0,0,0,2,T20I v England,Manchester,31 Aug 2011,T20I # 204
70,0,0,0,0,0,2,ODI v England,Chester-le-Street,3 Sep 2011,ODI # 3186
71,2,2,0,0,2,2,ODI v England,Southampton,6 Sep 2011,ODI # 3187
72,0,0,0,0,0,2,ODI v England,The Oval,9 Sep 2011,ODI # 3189
73,1,1,0,0,1,2,ODI v England,Lord's,11 Sep 2011,ODI # 3191
74,0,0,0,0,0,2,ODI v England,Cardiff,16 Sep 2011,ODI # 3195
75,0,0,0,0,0,2,ODI v England,Hyderabad,14 Oct 2011,ODI # 3199
76,2,2,0,0,2,1,ODI v England,Delhi,17 Oct 2011,ODI # 3201
77,0,0,0,0,0,1,ODI v England,Mohali,20 Oct 2011,ODI # 3205
78,1,1,0,0,1,1,ODI v England,Wankhede,23 Oct 2011,ODI # 3207
79,1,1,0,0,1,2,ODI v England,Eden Gardens,25 Oct 2011,ODI # 3210
80,0,0,0,0,0,2,T20I v England,Eden Gardens,29 Oct 2011,T20I # 214
81,2,2,0,0,2,1,Test v West Indies,Wankhede,22 Nov 2011,Test # 2019
82,0,0,0,0,0,3,Test v West Indies,Wankhede,22 Nov 2011,Test # 2019
83,1,1,0,0,1,1,ODI v West Indies,Cuttack,29 Nov 2011,ODI # 3217
84,0,0,0,0,0,1,ODI v West Indies,Visakhapatnam,2 Dec 2011,ODI # 3219
85,0,0,0,0,0,1,ODI v West Indies,Ahmedabad,5 Dec 2011,ODI # 3221
86,0,0,0,0,0,2,ODI v West Indies,Indore,8 Dec 2011,ODI # 3223
87,0,0,0,0,0,2,ODI v West Indies,Chennai,11 Dec 2011,ODI # 3224
88,2,2,0,0,2,1,Test v Australia,Melbourne,26 Dec 2011,Test # 2025
89,0,0,0,0,0,3,Test v Australia,Melbourne,26 Dec 2011,Test # 2025
90,0,0,0,0,0,2,Test v Australia,Sydney,3 Jan 2012,Test # 2027
91,1,1,0,0,1,2,Test v Australia,W.A.C.A,13 Jan 2012,Test # 2029
92,0,0,0,0,0,1,Test v Australia,Adelaide,24 Jan 2012,Test # 2031
93,0,0,0,0,0,3,Test v Australia,Adelaide,24 Jan 2012,Test # 2031
94,0,0,0,0,0,1,T20I v Australia,Sydney,1 Feb 2012,T20I # 217
95,0,0,0,0,0,1,T20I v Australia,Melbourne,3 Feb 2012,T20I # 218
96,1,1,0,0,1,1,ODI v Australia,Melbourne,5 Feb 2012,ODI # 3231
97,1,1,0,0,1,1,ODI v Sri Lanka,W.A.C.A,8 Feb 2012,ODI # 3233
98,1,1,0,0,1,1,ODI v Australia,Adelaide,12 Feb 2012,ODI # 3237
