,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match id
471,38,31,27,2,1,140.74,4,caught,1,T20I v New Zealand,Hamilton,29 Jan 2020,T20I # 1035
472,11,16,9,2,0,122.22,3,caught,1,T20I v New Zealand,Wellington,31 Jan 2020,T20I # 1036
473,51,88,63,6,0,80.95,3,bowled,1,ODI v New Zealand,Hamilton,5 Feb 2020,ODI # 4235
474,15,31,25,1,0,60.00,3,bowled,2,ODI v New Zealand,Auckland,8 Feb 2020,ODI # 4239
475,9,20,12,0,1,75.00,3,caught,1,ODI v New Zealand,Mount Maunganui,11 Feb 2020,ODI # 4243
476,2,9,7,0,0,28.57,4,caught,1,Test v New Zealand,Wellington,21 Feb 2020,Test # 2385
477,19,61,43,3,0,44.18,4,caught,3,Test v New Zealand,Wellington,21 Feb 2020,Test # 2385
478,3,23,15,0,0,20.00,4,lbw,1,Test v New Zealand,Christchurch,29 Feb 2020,Test # 2387
479,14,40,30,3,0,46.66,4,lbw,3,Test v New Zealand,Christchurch,29 Feb 2020,Test # 2387
480,21,-,21,2,1,100.00,3,caught,2,ODI v Australia,Sydney,27 Nov 2020,ODI # 4265
481,89,-,87,7,2,102.29,3,caught,2,ODI v Australia,Sydney,29 Nov 2020,ODI # 4266
482,63,-,78,5,0,80.76,3,caught,1,ODI v Australia,Canberra,2 Dec 2020,ODI # 4267
483,9,-,9,1,0,100.00,3,caught,1,T20I v Australia,Canberra,4 Dec 2020,T20I # 1114
484,40,-,24,2,2,166.66,3,caught,2,T20I v Australia,Sydney,6 Dec 2020,T20I # 1115
485,85,-,61,4,3,139.34,3,caught,2,T20I v Australia,Sydney,8 Dec 2020,T20I # 1116
486,74,244,180,8,0,41.11,4,run out,1,Test v Australia,Adelaide,17 Dec 2020,Test # 2396
487,4,13,8,1,0,50.00,5,caught,3,Test v Australia,Adelaide,17 Dec 2020,Test # 2396
488,11,69,48,0,0,22.91,4,caught,2,Test v England,Chennai,5 Feb 2021,Test # 2409
489,72,153,104,9,0,69.23,4,bowled,4,Test v England,Chennai,5 Feb 2021,Test # 2409
490,0,6,5,0,0,0.00,4,bowled,1,Test v England,Chennai,13 Feb 2021,Test # 2411
491,62,200,149,7,0,41.61,4,lbw,3,Test v England,Chennai,13 Feb 2021,Test # 2411
492,27,85,58,3,0,46.55,4,bowled,2,Test v England,Ahmedabad,24 Feb 2021,Test # 2412
493,DNB,-,-,-,-,-,-,-,4,Test v England,Ahmedabad,24 Feb 2021,Test # 2412
494,0,13,8,0,0,0.00,4,caught,2,Test v England,Ahmedabad,4 Mar 2021,Test # 2414
495,0,6,5,0,0,0.00,3,caught,1,T20I v England,Ahmedabad,12 Mar 2021,T20I # 1131
496,73*,85,49,5,3,148.97,3,not out,2,T20I v England,Ahmedabad,14 Mar 2021,T20I # 1132
497,77*,80,46,8,4,167.39,4,not out,1,T20I v England,Ahmedabad,16 Mar 2021,T20I # 1133
498,1,3,5,0,0,20.00,4,stumped,1,T20I v England,Ahmedabad,18 Mar 2021,T20I # 1135
499,80*,103,52,7,2,153.84,2,not out,1,T20I v England,Ahmedabad,20 Mar 2021,T20I # 1138
500,56,65,60,6,0,93.33,3,caught,1,ODI v England,Pune,23 Mar 2021,ODI # 4281
501,66,110,79,3,1,83.54,3,caught,1,ODI v England,Pune,26 Mar 2021,ODI # 4283
502,7,14,10,1,0,70.00,3,bowled,1,ODI v England,Pune,28 Mar 2021,ODI # 4284
503,44,196,132,1,0,33.33,4,lbw,1,Test v New Zealand,Southampton,18 Jun 2021,Test # 2425
504,13,43,29,0,0,44.82,4,caught,3,Test v New Zealand,Southampton,18 Jun 2021,Test # 2425
505,0,2,1,0,0,0.00,4,caught,2,Test v England,Nottingham,4 Aug 2021,Test # 2428
506,DNB,-,-,-,-,-,-,-,4,Test v England,Nottingham,4 Aug 2021,Test # 2428
507,42,152,103,3,0,40.77,4,caught,1,Test v England,Lord's,12 Aug 2021,Test # 2429
508,20,54,31,4,0,64.51,4,caught,3,Test v England,Lord's,12 Aug 2021,Test # 2429
509,7,31,17,1,0,41.17,4,caught,1,Test v England,Leeds,25 Aug 2021,Test # 2432
510,55,173,125,8,0,44.00,4,caught,3,Test v England,Leeds,25 Aug 2021,Test # 2432
511,50,133,96,8,0,52.08,4,caught,1,Test v England,The Oval,2 Sep 2021,Test # 2433
512,44,151,96,7,0,45.83,4,caught,3,Test v England,The Oval,2 Sep 2021,Test # 2433
513,57,94,49,5,1,116.32,3,caught,1,T20I v Pakistan,Dubai (DICS),24 Oct 2021,T20I # 1361
514,9,20,17,0,0,52.94,4,caught,1,T20I v New Zealand,Dubai (DICS),31 Oct 2021,T20I # 1381
515,DNB,-,-,-,-,-,-,-,1,T20I v Afghanistan,Abu Dhabi,3 Nov 2021,T20I # 1390
516,2*,7,2,0,0,100.00,3,not out,2,T20I v Scotland,Dubai (DICS),5 Nov 2021,T20I # 1396
517,DNB,-,-,-,-,-,-,-,2,T20I v Namibia,Dubai (DICS),8 Nov 2021,T20I # 1410
518,0,8,4,0,0,0.00,4,lbw,1,Test v New Zealand,Wankhede,3 Dec 2021,Test # 2438
519,36,111,84,1,1,42.85,4,bowled,3,Test v New Zealand,Wankhede,3 Dec 2021,Test # 2438
520,35,108,94,4,0,37.23,4,caught,1,Test v South Africa,Centurion,26 Dec 2021,Test # 2443
521,18,41,32,4,0,56.25,5,caught,3,Test v South Africa,Centurion,26 Dec 2021,Test # 2443
522,79,273,201,12,1,39.30,4,caught,1,Test v South Africa,Cape Town,11 Jan 2022,Test # 2448
523,29,193,143,4,0,20.27,4,caught,3,Test v South Africa,Cape Town,11 Jan 2022,Test # 2448
524,51,79,63,3,0,80.95,3,caught,2,ODI v South Africa,Paarl,19 Jan 2022,ODI # 4344
525,0,4,5,0,0,0.00,3,caught,1,ODI v South Africa,Paarl,21 Jan 2022,ODI # 4346
526,65,112,84,5,0,77.38,3,caught,2,ODI v South Africa,Cape Town,23 Jan 2022,ODI # 4349
527,8,6,4,2,0,200.00,3,caught,2,ODI v West Indies,Ahmedabad,6 Feb 2022,ODI # 4353
528,18,42,30,3,0,60.00,3,caught,1,ODI v West Indies,Ahmedabad,9 Feb 2022,ODI # 4355
529,0,2,2,0,0,0.00,3,caught,1,ODI v West Indies,Ahmedabad,11 Feb 2022,ODI # 4356
530,17,25,13,1,0,130.76,3,caught,2,T20I v West Indies,Eden Gardens,16 Feb 2022,T20I # 1467
531,52,57,41,7,1,126.82,3,bowled,1,T20I v West Indies,Eden Gardens,18 Feb 2022,T20I # 1473
532,45,106,76,5,0,59.21,4,bowled,1,Test v Sri Lanka,Mohali,4 Mar 2022,Test # 2452
533,23,63,48,2,0,47.91,4,lbw,1,Test v Sri Lanka,Bengaluru,12 Mar 2022,Test # 2456
534,13,27,16,1,0,81.25,4,lbw,3,Test v Sri Lanka,Bengaluru,12 Mar 2022,Test # 2456
535,11,33,19,2,0,57.89,4,bowled,1,Test v England,Birmingham,1 Jul 2022,Test # 2470
536,20,64,40,4,0,50.00,4,caught,3,Test v England,Birmingham,1 Jul 2022,Test # 2470
537,1,8,3,0,0,33.33,3,caught,1,T20I v England,Birmingham,9 Jul 2022,T20I # 1628
538,11,8,6,1,1,183.33,3,caught,2,T20I v England,Nottingham,10 Jul 2022,T20I # 1631
539,16,39,25,3,0,64.00,3,caught,2,ODI v England,Lord's,14 Jul 2022,ODI # 4428
540,17,27,22,3,0,77.27,3,caught,2,ODI v England,Manchester,17 Jul 2022,ODI # 4433
541,35,47,34,3,1,102.94,3,caught,2,T20I v Pakistan,Dubai (DICS),28 Aug 2022,T20I # 1750
542,59*,74,44,1,3,134.09,3,not out,1,T20I v Hong Kong,Dubai (DICS),31 Aug 2022,T20I # 1754
543,60,77,44,4,1,136.36,3,run out,1,T20I v Pakistan,Dubai (DICS),4 Sep 2022,T20I # 1758
544,0,6,4,0,0,0.00,3,bowled,1,T20I v Sri Lanka,Dubai (DICS),6 Sep 2022,T20I # 1759
545,122*,90,61,12,6,200.00,2,not out,1,T20I v Afghanistan,Dubai (DICS),8 Sep 2022,T20I # 1761
546,2,12,7,0,0,28.57,3,caught,1,T20I v Australia,Mohali,20 Sep 2022,T20I # 1788
547,11,-,6,2,0,183.33,3,bowled,2,T20I v Australia,Nagpur,23 Sep 2022,T20I # 1794
548,63,89,48,3,4,131.25,3,caught,2,T20I v Australia,Hyderabad,25 Sep 2022,T20I # 1796
549,3,19,9,0,0,33.33,3,caught,2,T20I v South Africa,Thiruvananthapuram,28 Sep 2022,T20I # 1800
550,49*,56,28,7,1,175.00,3,not out,1,T20I v South Africa,Guwahati,2 Oct 2022,T20I # 1803
551,82*,98,53,6,4,154.71,3,not out,2,T20I v Pakistan,Melbourne,23 Oct 2022,T20I # 1842
552,62*,79,44,3,2,140.90,3,not out,1,T20I v Netherlands,Sydney,27 Oct 2022,T20I # 1848
553,12,13,11,2,0,109.09,3,caught,1,T20I v South Africa,Perth,30 Oct 2022,T20I # 1853
554,64*,84,44,8,1,145.45,3,not out,1,T20I v Bangladesh,Adelaide,2 Nov 2022,T20I # 1860
555,26,36,25,2,0,104.00,3,caught,1,T20I v Zimbabwe,Melbourne,6 Nov 2022,T20I # 1873
556,50,75,40,4,1,125.00,3,caught,1,T20I v England,Adelaide,10 Nov 2022,T20I # 1878
557,9,22,15,1,0,60.00,3,caught,1,ODI v Bangladesh,Mirpur,4 Dec 2022,ODI # 4493
558,5,9,6,1,0,83.33,1,bowled,2,ODI v Bangladesh,Mirpur,7 Dec 2022,ODI # 4496
559,113,174,91,11,2,124.17,3,caught,1,ODI v Bangladesh,Chattogram,10 Dec 2022,ODI # 4499
560,1,8,5,0,0,20.00,4,lbw,1,Test v Bangladesh,Chattogram,14 Dec 2022,Test # 2481
561,19*,40,29,0,0,65.51,4,not out,3,Test v Bangladesh,Chattogram,14 Dec 2022,Test # 2481
562,24,91,73,3,0,32.87,4,caught,2,Test v Bangladesh,Mirpur,22 Dec 2022,Test # 2484
563,1,20,22,0,0,4.54,5,caught,4,Test v Bangladesh,Mirpur,22 Dec 2022,Test # 2484
564,113,117,87,12,1,129.88,3,caught,1,ODI v Sri Lanka,Guwahati,10 Jan 2023,ODI # 4501
565,4,27,9,1,0,44.44,3,bowled,2,ODI v Sri Lanka,Eden Gardens,12 Jan 2023,ODI # 4503
566,166*,173,110,13,8,150.90,3,not out,1,ODI v Sri Lanka,Thiruvananthapuram,15 Jan 2023,ODI # 4505
567,8,16,10,1,0,80.00,3,bowled,1,ODI v New Zealand,Hyderabad,18 Jan 2023,ODI # 4507
568,11,19,9,2,0,122.22,3,stumped,2,ODI v New Zealand,Raipur,21 Jan 2023,ODI # 4509
569,36,44,27,3,1,133.33,3,caught,1,ODI v New Zealand,Indore,24 Jan 2023,ODI # 4511
570,12,27,26,2,0,46.15,5,caught,2,Test v Australia,Nagpur,9 Feb 2023,Test # 2490
571,44,127,84,4,0,52.38,4,lbw,2,Test v Australia,Delhi,17 Feb 2023,Test # 2493
572,20,47,31,3,0,64.51,4,stumped,4,Test v Australia,Delhi,17 Feb 2023,Test # 2493
573,22,64,52,2,0,42.30,4,lbw,1,Test v Australia,Indore,1 Mar 2023,Test # 2496
574,13,35,26,2,0,50.00,4,lbw,3,Test v Australia,Indore,1 Mar 2023,Test # 2496
575,186,517,364,15,0,51.09,4,caught,2,Test v Australia,Ahmedabad,9 Mar 2023,Test # 2499
576,4,15,9,1,0,44.44,3,lbw,2,ODI v Australia,Wankhede,17 Mar 2023,ODI # 4538
577,31,79,35,4,0,88.57,3,lbw,1,ODI v Australia,Visakhapatnam,19 Mar 2023,ODI # 4541
