,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match id
22,57,-,71,4,1,80.28,3,caught,2,ODI v South Africa,Ahmedabad,27 Feb 2010,ODI # 2963
23,0,3,0,0,0,-,3,run out,1,ODI v Zimbabwe,Bulawayo,28 May 2010,ODI # 2981
24,82,125,92,4,0,89.13,3,caught,2,ODI v Sri Lanka,Bulawayo,30 May 2010,ODI # 2983
25,18,28,29,1,0,62.06,3,caught,1,ODI v Zimbabwe,Harare,3 Jun 2010,ODI # 2986
26,68,123,95,5,0,71.57,3,caught,1,ODI v Sri Lanka,Harare,5 Jun 2010,ODI # 2988
27,26*,30,21,3,1,123.80,5,not out,2,T20I v Zimbabwe,Harare,12 Jun 2010,T20I # 182
28,DNB,-,-,-,-,-,-,-,2,T20I v Zimbabwe,Harare,13 Jun 2010,T20I # 183
29,11,35,22,0,0,50.00,3,stumped,2,ODI v Bangladesh,Dambulla,16 Jun 2010,ODI # 2993
30,18,31,27,1,0,66.66,3,bowled,2,ODI v Pakistan,Dambulla,19 Jun 2010,ODI # 2996
31,10,13,14,1,0,71.42,3,caught,1,ODI v Sri Lanka,Dambulla,22 Jun 2010,ODI # 2999
32,28,57,34,4,0,82.35,3,caught,1,ODI v Sri Lanka,Dambulla,24 Jun 2010,ODI # 3001
33,0,5,3,0,0,0.00,3,caught,2,ODI v Sri Lanka,Dambulla,16 Aug 2010,ODI # 3032
34,8,22,16,1,0,50.00,3,caught,1,ODI v New Zealand,Dambulla,25 Aug 2010,ODI # 3039
35,37,98,57,5,0,64.91,3,caught,2,ODI v Sri Lanka,Dambulla,28 Aug 2010,ODI # 3040
36,118,193,121,11,1,97.52,3,caught,2,ODI v Australia,Visakhapatnam,20 Oct 2010,ODI # 3060
37,105,162,104,10,0,100.96,3,caught,1,ODI v New Zealand,Guwahati,28 Nov 2010,ODI # 3070
38,64,78,73,8,0,87.67,3,caught,2,ODI v New Zealand,Jaipur,1 Dec 2010,ODI # 3072
39,63*,83,70,6,2,90.00,3,not out,2,ODI v New Zealand,Vadodara,4 Dec 2010,ODI # 3074
40,0,3,2,0,0,0.00,3,caught,2,ODI v New Zealand,Bengaluru,7 Dec 2010,ODI # 3076
41,2,10,8,0,0,25.00,3,caught,2,ODI v New Zealand,Chennai,10 Dec 2010,ODI # 3077
42,28,28,19,5,0,147.36,1,bowled,1,T20I v South Africa,Durban,9 Jan 2011,T20I # 196
43,54,122,70,2,1,77.14,3,caught,2,ODI v South Africa,Durban,12 Jan 2011,ODI # 3079
44,22,43,34,1,0,64.70,3,run out,1,ODI v South Africa,Johannesburg,15 Jan 2011,ODI # 3080
45,28,51,41,5,0,68.29,3,caught,2,ODI v South Africa,Cape Town,18 Jan 2011,ODI # 3082
46,87*,126,92,7,2,94.56,3,not out,2,ODI v South Africa,Gqeberha,21 Jan 2011,ODI # 3084
47,2,11,6,0,0,33.33,3,caught,2,ODI v South Africa,Centurion,23 Jan 2011,ODI # 3087
48,100*,113,83,8,2,120.48,4,not out,1,ODI v Bangladesh,Mirpur,19 Feb 2011,ODI # 3100
49,8,12,5,1,0,160.00,7,bowled,1,ODI v England,Bengaluru,27 Feb 2011,ODI # 3110
50,34,82,53,3,0,64.15,4,run out,2,ODI v Ireland,Bengaluru,6 Mar 2011,ODI # 3121
51,12,16,20,2,0,60.00,5,bowled,2,ODI v Netherlands,Delhi,9 Mar 2011,ODI # 3124
52,1,2,3,0,0,33.33,7,caught,1,ODI v South Africa,Nagpur,12 Mar 2011,ODI # 3128
53,59,128,76,5,0,77.63,3,bowled,1,ODI v West Indies,Chennai,20 Mar 2011,ODI # 3141
54,24,38,33,1,0,72.72,4,caught,2,ODI v Australia,Ahmedabad,24 Mar 2011,ODI # 3143
55,9,20,21,0,0,42.85,4,caught,1,ODI v Pakistan,Mohali,30 Mar 2011,ODI # 3147
56,35,69,49,4,0,71.42,4,caught,2,ODI v Sri Lanka,Wankhede,2 Apr 2011,ODI # 3148
57,14,15,12,2,0,116.66,3,caught,1,T20I v West Indies,Port of Spain,4 Jun 2011,T20I # 200
58,2,5,8,0,0,25.00,3,caught,2,ODI v West Indies,Port of Spain,6 Jun 2011,ODI # 3159
59,81,118,103,6,1,78.64,3,caught,2,ODI v West Indies,Port of Spain,8 Jun 2011,ODI # 3160
60,0,1,1,0,0,0.00,3,lbw,2,ODI v West Indies,North Sound,11 Jun 2011,ODI # 3161
61,22,68,33,1,0,66.66,3,stumped,2,ODI v West Indies,North Sound,13 Jun 2011,ODI # 3162
62,94,135,104,10,0,90.38,3,run out,1,ODI v West Indies,Kingston,16 Jun 2011,ODI # 3163
63,4,13,10,1,0,40.00,5,caught,1,Test v West Indies,Kingston,20 Jun 2011,Test # 1997
64,15,72,54,2,0,27.77,5,caught,3,Test v West Indies,Kingston,20 Jun 2011,Test # 1997
65,0,1,2,0,0,0.00,5,caught,1,Test v West Indies,Bridgetown,28 Jun 2011,Test # 1998
66,27,118,107,1,1,25.23,5,caught,3,Test v West Indies,Bridgetown,28 Jun 2011,Test # 1998
67,30,62,53,2,0,56.60,5,caught,2,Test v West Indies,Roseau,6 Jul 2011,Test # 1999
68,DNB,-,-,-,-,-,-,-,4,Test v West Indies,Roseau,6 Jul 2011,Test # 1999
69,4,5,5,0,0,80.00,4,caught,1,T20I v England,Manchester,31 Aug 2011,T20I # 204
70,55,92,73,4,0,75.34,4,bowled,1,ODI v England,Chester-le-Street,3 Sep 2011,ODI # 3186
71,9,9,9,0,0,100.00,4,caught,1,ODI v England,Southampton,6 Sep 2011,ODI # 3187
72,7,18,18,0,0,38.88,4,caught,1,ODI v England,The Oval,9 Sep 2011,ODI # 3189
73,16,40,36,1,0,44.44,4,caught,1,ODI v England,Lord's,11 Sep 2011,ODI # 3191
74,107,102,93,9,1,115.05,4,hit wicket,1,ODI v England,Cardiff,16 Sep 2011,ODI # 3195
75,37,70,63,0,0,58.73,4,caught,1,ODI v England,Hyderabad,14 Oct 2011,ODI # 3199
76,112*,134,98,16,0,114.28,4,not out,2,ODI v England,Delhi,17 Oct 2011,ODI # 3201
77,35,42,30,5,0,116.66,4,lbw,2,ODI v England,Mohali,20 Oct 2011,ODI # 3205
78,86*,-,99,11,0,86.86,4,not out,2,ODI v England,Wankhede,23 Oct 2011,ODI # 3207
79,0,5,5,0,0,0.00,3,bowled,1,ODI v England,Eden Gardens,25 Oct 2011,ODI # 3210
80,15,21,16,3,0,93.75,3,caught,1,T20I v England,Eden Gardens,29 Oct 2011,T20I # 214
81,52,154,111,5,0,46.84,6,caught,2,Test v West Indies,Wankhede,22 Nov 2011,Test # 2019
82,63,136,114,3,1,55.26,6,caught,4,Test v West Indies,Wankhede,22 Nov 2011,Test # 2019
83,3,13,6,0,0,50.00,4,bowled,2,ODI v West Indies,Cuttack,29 Nov 2011,ODI # 3217
84,117,154,123,14,0,95.12,4,caught,2,ODI v West Indies,Visakhapatnam,2 Dec 2011,ODI # 3219
85,20,21,30,3,0,66.66,4,lbw,2,ODI v West Indies,Ahmedabad,5 Dec 2011,ODI # 3221
86,23*,15,11,3,0,209.09,6,not out,1,ODI v West Indies,Indore,8 Dec 2011,ODI # 3223
87,80,99,85,5,0,94.11,5,caught,1,ODI v West Indies,Chennai,11 Dec 2011,ODI # 3224
88,11,28,21,1,0,52.38,7,caught,2,Test v Australia,Melbourne,26 Dec 2011,Test # 2025
89,0,3,1,0,0,0.00,6,lbw,4,Test v Australia,Melbourne,26 Dec 2011,Test # 2025
90,23,50,41,3,0,56.09,6,caught,1,Test v Australia,Sydney,3 Jan 2012,Test # 2027
91,9,35,24,2,0,37.50,6,lbw,3,Test v Australia,Sydney,3 Jan 2012,Test # 2027
92,44,107,81,6,0,54.32,6,caught,1,Test v Australia,W.A.C.A,13 Jan 2012,Test # 2029
93,75,191,136,9,0,55.14,6,caught,3,Test v Australia,W.A.C.A,13 Jan 2012,Test # 2029
94,116,237,213,11,1,54.46,6,lbw,2,Test v Australia,Adelaide,24 Jan 2012,Test # 2031
95,22,96,62,2,0,35.48,6,run out,4,Test v Australia,Adelaide,24 Jan 2012,Test # 2031
96,22,30,21,0,1,104.76,3,caught,2,T20I v Australia,Sydney,1 Feb 2012,T20I # 217
97,31,29,24,3,0,129.16,3,caught,2,T20I v Australia,Melbourne,3 Feb 2012,T20I # 218
98,31,30,34,3,0,91.17,3,caught,2,ODI v Australia,Melbourne,5 Feb 2012,ODI # 3231
99,77,156,94,8,1,81.91,3,run out,2,ODI v Sri Lanka,W.A.C.A,8 Feb 2012,ODI # 3233
100,18,41,28,1,0,64.28,3,caught,2,ODI v Australia,Adelaide,12 Feb 2012,ODI # 3237
101,15,32,25,1,0,60.00,3,lbw,2,ODI v Sri Lanka,Adelaide,14 Feb 2012,ODI # 3239
102,12,44,25,0,0,48.00,3,caught,2,ODI v Australia,Brisbane,19 Feb 2012,ODI # 3244
103,66,116,83,2,0,79.51,4,caught,2,ODI v Sri Lanka,Brisbane,21 Feb 2012,ODI # 3246
104,21,36,27,2,0,77.77,4,caught,2,ODI v Australia,Sydney,26 Feb 2012,ODI # 3250
105,133*,133,86,16,2,154.65,4,not out,2,ODI v Sri Lanka,Hobart,28 Feb 2012,ODI # 3251
106,108,148,120,7,0,90.00,3,caught,1,ODI v Sri Lanka,Mirpur,13 Mar 2012,ODI # 3259
107,66,126,82,5,0,80.48,3,bowled,1,ODI v Bangladesh,Mirpur,16 Mar 2012,ODI # 3261
108,183,211,148,22,1,123.64,3,caught,2,ODI v Pakistan,Mirpur,18 Mar 2012,ODI # 3263
109,DNB,-,-,-,-,-,-,-,2,T20I v South Africa,Johannesburg,30 Mar 2012,T20I # 242
110,106,158,113,9,0,93.80,3,caught,1,ODI v Sri Lanka,Hambantota,21 Jul 2012,ODI # 3291
111,1,6,5,0,0,20.00,3,caught,1,ODI v Sri Lanka,Hambantota,24 Jul 2012,ODI # 3292
112,38,80,65,2,0,58.46,3,caught,2,ODI v Sri Lanka,Colombo (RPS),28 Jul 2012,ODI # 3293
113,128*,187,119,12,1,107.56,3,not out,2,ODI v Sri Lanka,Colombo (RPS),31 Jul 2012,ODI # 3294
114,23,42,35,2,0,65.71,3,lbw,1,ODI v Sri Lanka,Pallekele,4 Aug 2012,ODI # 3295
115,68,65,48,11,1,141.66,3,caught,1,T20I v Sri Lanka,Pallekele,7 Aug 2012,T20I # 255
116,58,143,107,8,0,54.20,5,caught,1,Test v New Zealand,Hyderabad,23 Aug 2012,Test # 2054
117,103,284,193,14,1,53.36,5,lbw,2,Test v New Zealand,Bengaluru,31 Aug 2012,Test # 2055
118,51*,130,82,9,0,62.19,5,not out,4,Test v New Zealand,Bengaluru,31 Aug 2012,Test # 2055
119,70,67,41,10,1,170.73,2,caught,2,T20I v New Zealand,Chennai,11 Sep 2012,T20I # 261
120,50,60,39,4,2,128.20,3,caught,1,T20I v Afghanistan,Colombo (RPS),19 Sep 2012,T20I # 265
121,40,33,32,6,0,125.00,3,caught,1,T20I v England,Colombo (RPS),23 Sep 2012,T20I # 272
122,15,18,13,2,0,115.38,3,caught,1,T20I v Australia,Colombo (RPS),28 Sep 2012,T20I # 278
123,78*,61,61,8,2,127.86,3,not out,2,T20I v Pakistan,Colombo (RPS),30 Sep 2012,T20I # 282
124,2,5,6,0,0,33.33,3,caught,1,T20I v South Africa,Colombo (RPS),2 Oct 2012,T20I # 286
125,19,70,67,3,0,28.35,5,bowled,1,Test v England,Ahmedabad,15 Nov 2012,Test # 2058
126,14*,17,21,3,0,66.66,3,not out,4,Test v England,Ahmedabad,15 Nov 2012,Test # 2058
127,19,65,55,3,0,34.54,5,caught,1,Test v England,Wankhede,23 Nov 2012,Test # 2062
128,7,16,13,1,0,53.84,5,caught,3,Test v England,Wankhede,23 Nov 2012,Test # 2062
129,6,31,24,1,0,25.00,5,caught,1,Test v England,Eden Gardens,5 Dec 2012,Test # 2065
130,20,86,60,3,0,33.33,5,caught,3,Test v England,Eden Gardens,5 Dec 2012,Test # 2065
131,103,356,295,11,0,34.91,5,lbw,2,Test v England,Nagpur,13 Dec 2012,Test # 2066
132,21,35,17,2,0,123.52,3,bowled,2,T20I v England,Pune,20 Dec 2012,T20I # 292
133,38,25,20,7,0,190.00,3,lbw,1,T20I v England,Wankhede,22 Dec 2012,T20I # 294
134,9,15,11,1,0,81.81,3,caught,1,T20I v Pakistan,Bengaluru,25 Dec 2012,T20I # 296
135,27,31,22,3,0,122.72,3,run out,1,T20I v Pakistan,Ahmedabad,28 Dec 2012,T20I # 298
136,0,9,5,0,0,0.00,3,bowled,1,ODI v Pakistan,Chennai,30 Dec 2012,ODI # 3314
137,6,12,9,1,0,66.66,3,caught,2,ODI v Pakistan,Eden Gardens,3 Jan 2013,ODI # 3315
138,7,25,17,1,0,41.17,3,caught,1,ODI v Pakistan,Delhi,6 Jan 2013,ODI # 3316
139,15,45,22,1,0,68.18,3,caught,2,ODI v England,Rajkot,11 Jan 2013,ODI # 3318
140,37,86,54,1,1,68.51,3,caught,1,ODI v England,Kochi,15 Jan 2013,ODI # 3320
141,77*,110,79,9,2,97.46,3,not out,2,ODI v England,Ranchi,19 Jan 2013,ODI # 3322
142,26,44,33,3,0,78.78,3,caught,2,ODI v England,Mohali,23 Jan 2013,ODI # 3327
143,0,1,1,0,0,0.00,3,caught,1,ODI v England,Dharamsala,27 Jan 2013,ODI # 3329
144,107,266,206,15,1,51.94,5,caught,2,Test v Australia,Chennai,22 Feb 2013,Test # 2074
145,DNB,-,-,-,-,-,-,-,4,Test v Australia,Chennai,22 Feb 2013,Test # 2074
146,34,119,92,3,0,36.95,5,caught,2,Test v Australia,Hyderabad,2 Mar 2013,Test # 2076
147,67*,157,129,7,1,51.93,5,not out,2,Test v Australia,Mohali,14 Mar 2013,Test # 2081
148,34,80,61,6,0,55.73,3,caught,4,Test v Australia,Mohali,14 Mar 2013,Test # 2081
149,1,11,8,0,0,12.50,3,lbw,2,Test v Australia,Delhi,22 Mar 2013,Test # 2085
150,41,76,60,4,0,68.33,3,lbw,4,Test v Australia,Delhi,22 Mar 2013,Test # 2085
151,31,46,41,2,0,75.60,3,caught,1,ODI v South Africa,Cardiff,6 Jun 2013,ODI # 3363
152,22,18,18,4,0,122.22,3,bowled,2,ODI v West Indies,The Oval,11 Jun 2013,ODI # 3368
153,22*,36,27,3,0,81.48,3,not out,2,ODI v Pakistan,Birmingham,15 Jun 2013,ODI # 3372
154,58*,80,64,4,1,90.62,3,not out,2,ODI v Sri Lanka,Cardiff,20 Jun 2013,ODI # 3376
155,43,66,34,4,1,126.47,3,caught,1,ODI v England,Birmingham,23 Jun 2013,ODI # 3377
156,11,19,21,0,1,52.38,3,caught,1,ODI v West Indies,Kingston,30 Jun 2013,ODI # 3380
157,2,6,5,0,0,40.00,4,caught,2,ODI v Sri Lanka,Kingston,2 Jul 2013,ODI # 3382
158,102,120,83,13,2,122.89,3,caught,1,ODI v West Indies,Port of Spain,5 Jul 2013,ODI # 3383
159,31,62,52,4,0,59.61,3,lbw,1,ODI v Sri Lanka,Port of Spain,9 Jul 2013,ODI # 3387
160,2,8,5,0,0,40.00,3,caught,2,ODI v Sri Lanka,Port of Spain,11 Jul 2013,ODI # 3388
161,115,133,108,13,1,106.48,3,caught,2,ODI v Zimbabwe,Harare,24 Jul 2013,ODI # 3395
162,14,35,18,2,0,77.77,3,caught,1,ODI v Zimbabwe,Harare,26 Jul 2013,ODI # 3397
163,68*,128,88,5,1,77.27,3,not out,2,ODI v Zimbabwe,Harare,28 Jul 2013,ODI # 3399
164,DNB,-,-,-,-,-,-,-,2,ODI v Zimbabwe,Bulawayo,1 Aug 2013,ODI # 3402
165,DNB,-,-,-,-,-,-,-,2,ODI v Zimbabwe,Bulawayo,3 Aug 2013,ODI # 3403
166,29,26,22,2,1,131.81,4,caught,2,T20I v Australia,Rajkot,10 Oct 2013,T20I # 331
167,61,121,85,6,0,71.76,3,lbw,2,ODI v Australia,Pune,13 Oct 2013,ODI # 3419
168,100*,82,52,8,7,192.30,3,not out,2,ODI v Australia,Jaipur,16 Oct 2013,ODI # 3420
169,68,121,73,9,0,93.15,3,caught,1,ODI v Australia,Mohali,19 Oct 2013,ODI # 3421
170,DNB,-,-,-,-,-,-,-,2,ODI v Australia,Ranchi,23 Oct 2013,ODI # 3422
171,115*,104,66,18,1,174.24,3,not out,2,ODI v Australia,Nagpur,30 Oct 2013,ODI # 3424
172,0,4,3,0,0,0.00,3,run out,1,ODI v Australia,Bengaluru,2 Nov 2013,ODI # 3428
173,3,13,5,0,0,60.00,5,caught,2,Test v West Indies,Eden Gardens,6 Nov 2013,Test # 2101
174,57,80,78,5,0,73.07,5,caught,2,Test v West Indies,Wankhede,14 Nov 2013,Test # 2102
175,86,120,84,9,2,102.38,3,caught,2,ODI v West Indies,Kochi,21 Nov 2013,ODI # 3436
176,99,159,100,9,0,99.00,3,caught,1,ODI v West Indies,Visakhapatnam,24 Nov 2013,ODI # 3437
177,19,19,18,3,0,105.55,3,caught,2,ODI v West Indies,Kanpur,27 Nov 2013,ODI # 3439
178,31,41,35,5,0,88.57,3,caught,2,ODI v South Africa,Johannesburg,5 Dec 2013,ODI # 3442
179,0,7,5,0,0,0.00,3,caught,2,ODI v South Africa,Durban,8 Dec 2013,ODI # 3443
180,TDNB,-,-,-,-,-,-,-,-,ODI v South Africa,Centurion,11 Dec 2013,ODI # 3444
181,119,257,181,18,0,65.74,4,caught,1,Test v South Africa,Johannesburg,18 Dec 2013,Test # 2108
182,96,254,193,9,0,49.74,4,caught,3,Test v South Africa,Johannesburg,18 Dec 2013,Test # 2108
183,46,114,87,5,0,52.87,4,caught,1,Test v South Africa,Durban,26 Dec 2013,Test # 2111
184,11,26,27,1,0,40.74,4,caught,3,Test v South Africa,Durban,26 Dec 2013,Test # 2111
185,123,179,111,11,2,110.81,3,caught,2,ODI v New Zealand,Napier,19 Jan 2014,ODI # 3456
186,78,88,65,7,2,120.00,3,caught,2,ODI v New Zealand,Hamilton,22 Jan 2014,ODI # 3458
187,6,27,20,1,0,30.00,3,caught,2,ODI v New Zealand,Auckland,25 Jan 2014,ODI # 3462
188,2,14,10,0,0,20.00,2,caught,1,ODI v New Zealand,Hamilton,28 Jan 2014,ODI # 3465
189,82,129,78,7,3,105.12,3,caught,2,ODI v New Zealand,Wellington,31 Jan 2014,ODI # 3467
190,4,17,13,1,0,30.76,4,caught,2,Test v New Zealand,Auckland,6 Feb 2014,Test # 2118
191,67,131,102,12,0,65.68,4,caught,4,Test v New Zealand,Auckland,6 Feb 2014,Test # 2118
192,38,131,93,4,0,40.86,5,caught,2,Test v New Zealand,Wellington,14 Feb 2014,Test # 2120
193,105*,195,135,15,1,77.77,4,not out,4,Test v New Zealand,Wellington,14 Feb 2014,Test # 2120
194,136,157,122,16,2,111.47,3,bowled,2,ODI v Bangladesh,Fatullah,26 Feb 2014,ODI # 3474
195,48,66,51,4,1,94.11,3,bowled,1,ODI v Sri Lanka,Fatullah,28 Feb 2014,ODI # 3476
196,5,29,11,0,0,45.45,3,caught,1,ODI v Pakistan,Mirpur,2 Mar 2014,ODI # 3479
197,DNB,-,-,-,-,-,-,-,2,ODI v Afghanistan,Mirpur,5 Mar 2014,ODI # 3483
198,36*,45,32,4,1,112.50,3,not out,2,T20I v Pakistan,Mirpur,21 Mar 2014,T20I # 378
199,54,51,41,5,1,131.70,3,bowled,2,T20I v West Indies,Mirpur,23 Mar 2014,T20I # 382
200,57*,66,50,3,1,114.00,3,not out,2,T20I v Bangladesh,Mirpur,28 Mar 2014,T20I # 389
201,23,23,22,2,1,104.54,3,caught,1,T20I v Australia,Mirpur,30 Mar 2014,T20I # 393
202,72*,67,44,5,2,163.63,3,not out,2,T20I v South Africa,Mirpur,4 Apr 2014,T20I # 399
203,77,75,58,5,4,132.75,3,run out,1,T20I v Sri Lanka,Mirpur,6 Apr 2014,T20I # 400
204,1,6,8,0,0,12.50,4,caught,1,Test v England,Nottingham,9 Jul 2014,Test # 2128
205,8,39,29,1,0,27.58,4,lbw,3,Test v England,Nottingham,9 Jul 2014,Test # 2128
206,25,39,34,4,0,73.52,4,caught,1,Test v England,Lord's,17 Jul 2014,Test # 2130
207,0,1,1,0,0,0.00,4,bowled,3,Test v England,Lord's,17 Jul 2014,Test # 2130
208,39,119,75,3,0,52.00,4,caught,2,Test v England,Southampton,27 Jul 2014,Test # 2132
209,28,77,56,3,0,50.00,4,caught,4,Test v England,Southampton,27 Jul 2014,Test # 2132
210,0,3,2,0,0,0.00,4,caught,1,Test v England,Manchester,7 Aug 2014,Test # 2134
211,7,15,11,1,0,63.63,4,caught,3,Test v England,Manchester,7 Aug 2014,Test # 2134
212,6,34,18,1,0,33.33,4,lbw,1,Test v England,The Oval,15 Aug 2014,Test # 2137
213,20,80,54,2,0,37.03,4,caught,3,Test v England,The Oval,15 Aug 2014,Test # 2137
214,0,1,3,0,0,0.00,3,caught,1,ODI v England,Cardiff,27 Aug 2014,ODI # 3517
215,40,67,50,2,1,80.00,3,caught,2,ODI v England,Nottingham,30 Aug 2014,ODI # 3520
216,1*,9,3,0,0,33.33,3,not out,2,ODI v England,Birmingham,2 Sep 2014,ODI # 3523
217,13,25,21,2,0,61.90,3,caught,2,ODI v England,Leeds,5 Sep 2014,ODI # 3525
218,66,54,41,9,1,160.97,3,caught,2,T20I v England,Birmingham,7 Sep 2014,T20I # 405
219,2,7,5,0,0,40.00,3,caught,2,ODI v West Indies,Kochi,8 Oct 2014,ODI # 3531
220,62,124,78,5,0,79.48,4,caught,1,ODI v West Indies,Delhi,11 Oct 2014,ODI # 3533
221,127,164,114,13,3,111.40,3,run out,1,ODI v West Indies,Dharamsala,17 Oct 2014,ODI # 3535
222,22,34,21,2,0,104.76,4,caught,1,ODI v Sri Lanka,Cuttack,2 Nov 2014,ODI # 3539
223,49,-,44,2,2,111.36,4,caught,2,ODI v Sri Lanka,Ahmedabad,6 Nov 2014,ODI # 3540
224,53,-,61,4,1,86.88,4,caught,2,ODI v Sri Lanka,Hyderabad,9 Nov 2014,ODI # 3543
225,66,109,64,6,0,103.12,4,run out,1,ODI v Sri Lanka,Eden Gardens,13 Nov 2014,ODI # 3544
226,139*,192,126,12,3,110.31,4,not out,2,ODI v Sri Lanka,Ranchi,16 Nov 2014,ODI # 3547
227,115,267,184,12,0,62.50,4,caught,2,Test v Australia,Adelaide,9 Dec 2014,Test # 2148
228,141,279,175,16,1,80.57,4,caught,4,Test v Australia,Adelaide,9 Dec 2014,Test # 2148
229,19,50,27,1,0,70.37,4,caught,1,Test v Australia,Brisbane,17 Dec 2014,Test # 2149
230,1,14,11,0,0,9.09,4,bowled,3,Test v Australia,Brisbane,17 Dec 2014,Test # 2149
231,169,380,272,18,0,62.13,4,caught,2,Test v Australia,Melbourne,26 Dec 2014,Test # 2152
232,54,134,99,7,0,54.54,4,caught,4,Test v Australia,Melbourne,26 Dec 2014,Test # 2152
233,147,315,230,20,0,63.91,4,caught,2,Test v Australia,Sydney,6 Jan 2015,Test # 2156
234,46,123,95,3,0,48.42,4,caught,4,Test v Australia,Sydney,6 Jan 2015,Test # 2156
235,9,24,16,0,0,56.25,4,caught,1,ODI v Australia,Melbourne,18 Jan 2015,ODI # 3582
236,4,13,8,0,0,50.00,4,caught,1,ODI v England,Brisbane,20 Jan 2015,ODI # 3586
237,3*,8,9,0,0,33.33,4,not out,1,ODI v Australia,Sydney,26 Jan 2015,ODI # 3592
238,8,26,19,0,0,42.10,3,caught,1,ODI v England,W.A.C.A,30 Jan 2015,ODI # 3595
239,107,168,126,8,0,84.92,3,caught,1,ODI v Pakistan,Adelaide,15 Feb 2015,ODI # 3602
240,46,106,60,3,0,76.66,3,caught,1,ODI v South Africa,Melbourne,22 Feb 2015,ODI # 3610
241,33*,49,41,5,0,80.48,3,not out,2,ODI v U.A.E.,W.A.C.A,28 Feb 2015,ODI # 3618
242,33,51,36,5,0,91.66,3,caught,2,ODI v West Indies,W.A.C.A,6 Mar 2015,ODI # 3625
243,44*,64,42,4,1,104.76,3,not out,2,ODI v Ireland,Hamilton,10 Mar 2015,ODI # 3631
244,38,71,48,4,0,79.16,3,bowled,2,ODI v Zimbabwe,Auckland,14 Mar 2015,ODI # 3636
245,3,6,8,0,0,37.50,3,caught,1,ODI v Bangladesh,Melbourne,19 Mar 2015,ODI # 3641
246,1,11,13,0,0,7.69,3,caught,2,ODI v Australia,Sydney,26 Mar 2015,ODI # 3645
247,14,17,22,2,0,63.63,4,bowled,1,Test v Bangladesh,Fatullah,10 Jun 2015,Test # 2165
248,1,9,4,0,0,25.00,3,caught,2,ODI v Bangladesh,Mirpur,18 Jun 2015,ODI # 3658
249,23,57,27,3,1,85.18,3,lbw,1,ODI v Bangladesh,Mirpur,21 Jun 2015,ODI # 3660
250,25,55,35,1,0,71.42,3,bowled,1,ODI v Bangladesh,Mirpur,24 Jun 2015,ODI # 3661
251,103,266,191,11,0,53.92,4,lbw,2,Test v Sri Lanka,Galle,12 Aug 2015,Test # 2176
252,3,14,10,0,0,30.00,5,caught,4,Test v Sri Lanka,Galle,12 Aug 2015,Test # 2176
253,78,178,107,8,1,72.89,4,caught,1,Test v Sri Lanka,Colombo (PSS),20 Aug 2015,Test # 2177
254,10,33,19,0,0,52.63,4,lbw,3,Test v Sri Lanka,Colombo (PSS),20 Aug 2015,Test # 2177
255,18,96,60,3,0,30.00,4,caught,1,Test v Sri Lanka,Colombo (SSC),28 Aug 2015,Test # 2179
256,21,87,63,2,0,33.33,4,caught,3,Test v Sri Lanka,Colombo (SSC),28 Aug 2015,Test # 2179
257,43,58,27,1,3,159.25,3,caught,1,T20I v South Africa,Dharamsala,2 Oct 2015,T20I # 456
258,1,3,1,0,0,100.00,3,run out,1,T20I v South Africa,Cuttack,5 Oct 2015,T20I # 457
259,11,29,18,0,0,61.11,4,caught,2,ODI v South Africa,Kanpur,11 Oct 2015,ODI # 3689
260,12,24,18,0,0,66.66,4,run out,1,ODI v South Africa,Indore,14 Oct 2015,ODI # 3692
261,77,155,99,5,0,77.77,3,caught,2,ODI v South Africa,Rajkot,18 Oct 2015,ODI # 3695
262,138,202,140,6,5,98.57,3,caught,1,ODI v South Africa,Chennai,22 Oct 2015,ODI # 3698
263,7,11,6,0,1,116.66,3,caught,2,ODI v South Africa,Wankhede,25 Oct 2015,ODI # 3700
264,1,5,4,0,0,25.00,4,caught,1,Test v South Africa,Mohali,5 Nov 2015,Test # 2186
265,29,92,71,4,0,40.84,4,caught,3,Test v South Africa,Mohali,5 Nov 2015,Test # 2186
266,DNB,-,-,-,-,-,-,-,2,Test v South Africa,Bengaluru,14 Nov 2015,Test # 2188
267,22,73,55,2,0,40.00,4,caught,1,Test v South Africa,Nagpur,25 Nov 2015,Test # 2189
268,16,49,30,2,0,53.33,4,caught,3,Test v South Africa,Nagpur,25 Nov 2015,Test # 2189
269,44,74,62,7,0,70.96,4,caught,1,Test v South Africa,Delhi,3 Dec 2015,Test # 2191
270,88,259,165,10,0,53.33,5,lbw,3,Test v South Africa,Delhi,3 Dec 2015,Test # 2191
271,91,148,97,9,1,93.81,3,caught,1,ODI v Australia,W.A.C.A,12 Jan 2016,ODI # 3723
272,59,84,67,4,0,88.05,3,run out,1,ODI v Australia,Brisbane,15 Jan 2016,ODI # 3724
273,117,174,117,7,2,100.00,3,caught,1,ODI v Australia,Melbourne,17 Jan 2016,ODI # 3725
274,106,131,92,11,1,115.21,3,caught,2,ODI v Australia,Canberra,20 Jan 2016,ODI # 3726
275,8,11,11,1,0,72.72,3,caught,2,ODI v Australia,Sydney,23 Jan 2016,ODI # 3727
276,90*,71,55,9,2,163.63,3,not out,1,T20I v Australia,Adelaide,26 Jan 2016,T20I # 485
